n_steps,step_dim,attn_dim,ghost_bn,virtual_batch_size,momentum,gamma,dropout,embed_dropout,lr,batch_size,weight_decay,lambda_sparse,optimizer,lr_scheduler,base_lr,max_lr,div_factor,final_div_factor,n_cycles,val_loss
5,16,16,True,128,0.98,1.5,0.0,0.0,0.03,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.27627162635326385
7,16,16,False,128,0.98,1.25,0.0,0.0,0.05,128,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2765503120226938
5,32,32,False,128,0.98,1.5,0.1,0.0,0.03,128,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.27668222125436437
7,16,16,False,128,0.98,1.5,0.2,0.0,0.05,128,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2770519752482899
5,64,64,False,128,0.98,1.5,0.0,0.0,0.03,128,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.27708648169626954
5,16,16,True,64,0.98,1.5,0.0,0.0,0.03,4096,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2771706134080887
5,16,16,True,128,0.98,1.25,0.0,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2773683648556471
5,32,32,True,128,0.98,1.5,0.0,0.0,0.03,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2777520027011633
5,16,16,True,128,0.98,1.5,0.0,0.0,0.03,4096,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.27801911532878876
5,16,16,True,64,0.98,1.25,0.0,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2782032173126936
5,16,16,True,64,0.5,1.5,0.0,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2782177943736315
5,16,16,False,128,0.98,1.5,0.0,0.0,0.03,128,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2784289258425353
5,16,16,True,64,0.98,1.5,0.0,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2785487035289407
5,16,16,True,64,0.75,1.5,0.0,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2786182798445225
5,32,32,True,64,0.98,1.5,0.1,0.0,0.03,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2788511998951435
7,16,16,False,128,0.5,1.5,0.0,0.0,0.05,128,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.27895452790572994
5,64,64,True,64,0.98,1.5,0.0,0.0,0.03,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2789659444242716
5,32,32,False,128,0.98,1.5,0.0,0.0,0.05,128,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.278997294726919
5,16,16,True,128,0.98,1.75,0.0,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2790529578924179
5,16,16,False,128,0.98,1.5,0.0,0.0,0.03,128,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.27943656703487774
7,16,16,False,128,0.98,1.5,0.0,0.0,0.05,128,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.27955699944105306
5,16,16,False,128,0.98,1.5,0.0,0.0,0.03,128,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.27960494307220957
5,32,32,True,64,0.98,1.5,0.0,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.27965318132191896
5,32,32,False,128,0.98,1.5,0.0,0.0,0.03,128,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2797473217131662
5,16,16,True,64,0.98,1.5,0.0,0.0,0.05,1024,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.28007157519459724
5,16,16,True,64,0.98,1.5,0.0,0.0,0.03,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.28028598241508007
5,64,64,True,64,0.98,1.5,0.2,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.280570637434721
5,16,16,True,64,0.98,1.5,0.0,0.0,0.03,1024,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2805946432054043
7,16,16,False,128,0.25,1.5,0.0,0.0,0.05,128,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2807354892863602
5,16,16,True,128,0.98,1.5,0.0,0.0,0.03,512,0.0,1e-05,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2807369716465473
5,16,16,True,64,0.98,1.5,0.0,0.0,0.03,512,0.0,1e-05,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2810488361865282
7,16,16,False,128,0.98,1.5,0.0,0.0,0.05,128,0.0,1e-05,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2818122826150206
5,16,16,True,128,0.98,1.5,0.0,0.0,0.03,4096,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.28184495866298676
7,16,16,True,64,0.98,1.5,0.0,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.28208361100405455
5,16,16,True,64,0.98,1.5,0.0,0.0,0.03,512,0.0,0.001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.28257655166089535
5,16,16,True,128,0.98,1.5,0.0,0.0,0.03,1024,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2829503156244755
5,16,16,True,128,0.98,1.5,0.0,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2830841625109315
5,32,32,True,64,0.98,1.5,0.0,0.0,0.05,1024,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.28387463092803955
5,16,16,True,64,0.98,1.5,0.0,0.0,0.03,4096,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.28406521677970886
5,16,16,True,128,0.98,1.5,0.0,0.0,0.03,1024,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.28422996774315834
5,16,16,True,64,0.98,1.5,0.0,0.0,0.03,1024,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.28483996540308
7,16,16,False,128,0.98,1.75,0.0,0.0,0.05,128,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2848855274133995
5,64,64,True,64,0.98,1.5,0.0,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.28564894013106823
5,64,64,True,64,0.98,1.5,0.2,0.0,0.05,1024,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2858487516641617
5,16,16,True,128,0.98,1.5,0.0,0.0,0.05,1024,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.28609534353017807
5,64,64,True,64,0.98,1.5,0.2,0.0,0.03,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.28659957088530064
7,16,16,False,128,0.75,1.5,0.0,0.0,0.05,128,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.28661190632913935
7,16,16,True,128,0.98,1.5,0.0,0.0,0.03,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2883338574320078
5,64,64,False,128,0.98,1.5,0.0,0.0,0.03,128,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2888915169923032
5,16,16,True,128,0.98,1.25,0.0,0.0,0.0004,512,0.0,0.0001,AdamW,OneCycleLR,0.001,0.07,25,1000.0,5.0,0.29063659347593784
5,16,16,True,128,0.98,1.25,0.0,0.0,0.0004,512,0.0,0.0001,AdamW,OneCycleLR,0.001,0.07,25,1000.0,5.0,0.2921316474676132
7,16,16,False,128,0.98,1.5,0.0,0.0,0.05,128,0.0,0.001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.2938876535560264
7,16,16,True,64,0.98,1.5,0.2,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.29402620531618595
7,16,16,False,128,0.98,1.25,0.0,0.0,0.0004,128,0.0,0.0001,RAdam,OneCycleLR,0.001,0.07,25,1000.0,5.0,0.2968152893371269
7,16,16,True,128,0.98,1.5,0.2,0.0,0.03,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.29783952981233597
7,16,16,False,128,0.98,2.0,0.0,0.0,0.05,128,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.29974553037862306
5,64,64,True,64,0.98,1.5,0.0,0.0,0.05,1024,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.30538177117705345
5,16,16,True,128,0.98,1.5,0.0,0.0,0.0004,512,0.0,0.0001,Adam,OneCycleLR,0.001,0.07,25,1000.0,5.0,0.30615297332406044
5,16,16,True,128,0.98,1.5,0.0,0.0,0.05,4096,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3062417805194855
5,16,16,True,64,0.98,1.5,0.0,0.0,0.05,4096,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.3100327104330063
5,16,16,True,64,0.98,1.75,0.0,0.0,0.03,512,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.31143693439662457
5,16,16,True,128,0.98,1.5,0.0,0.0,0.0004,512,0.0,0.0001,Adam,OneCycleLR,0.001,0.07,25,1000.0,5.0,0.31547098606824875
5,32,32,True,64,0.98,1.5,0.1,0.0,0.05,1024,0.0,0.0001,RAdam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5.0,0.32049592584371567
7,16,16,False,128,0.98,1.25,0.0,0.0,0.0004,128,0.0,0.0001,RAdam,OneCycleLR,0.001,0.07,25,1000.0,5.0,0.326892193712172
5,16,16,True,128,0.98,1.5,0.0,0.0,0.0004,512,0.0,0.0001,Adam,OneCycleLR,0.001,0.1,25,1000.0,5.0,0.3298545144498348
5,16,16,True,128,0.98,1.25,0.0,0.0,0.0004,512,0.0,0.0001,AdamW,OneCycleLR,0.001,0.1,25,1000.0,5.0,0.34197304770350456
7,16,16,False,128,0.98,1.25,0.0,0.0,0.0004,128,0.0,0.0001,RAdam,OneCycleLR,0.001,0.1,25,1000.0,5.0,0.4339172571408944
